Rank,Film,Description
60,WALL-E,A dedicated worker develops feelings for a newcomer and follows her on an unexpected journey.
61,American Beauty,A suburban father experiences a midlife crisis and makes some unconventional choices.
62,The Dark Knight Rises,A recluse ends his retirement to help his city during a crisis.
63,Princess Mononoke,A traveler tries to mediate between industrial interests and those protecting the forest.
64,Aliens,A consultant returns to a job site with a new team after her previous visit ended badly.
65,Oldboy,A man is unexpectedly released after a long confinement and seeks answers.
66,Once Upon a Time in America,"Childhood friends rise together, drift apart, and reconnect decades later."
67,Coco,A boy visits distant relatives to learn about his family's complicated history with music.
68,Das Boot,A crew endures stressful conditions and dwindling morale on an extended assignment.
69,Avengers: Endgame,A group of colleagues attempt an elaborate plan to undo a recent catastrophe.
70,Joker,A man with mental health struggles pursues a performance career while society ignores him.
71,Toy Story,A longtime favorite feels threatened when someone new arrives.
72,Amadeus,A musician reflects on his resentment toward a more naturally gifted peer.
73,Your Name,Two teenagers mysteriously begin sharing experiences and try to meet in person.
74,Braveheart,A man becomes politically active after a personal loss and inspires others to join him.
75,High and Low,An executive faces an impossible choice when a ransom demand conflicts with his business plans.
76,Inglourious Basterds,A group carries out operations overseas while a venue owner plans a special screening.
77,Taxi Driver,A late-night driver becomes obsessed with cleaning up his city and helping someone escape her situation.
78,Am�lie,A shy young woman secretly improves the lives of others while struggling to pursue her own happiness.
79,Top Gun: Maverick,A veteran returns to train a new generation and confronts unfinished business.
80,Good Will Hunting,A young man with untapped potential receives guidance after getting into trouble.
81,Requiem for a Dream,Four people pursue their ambitions and spiral into destructive habits.
82,Toy Story 3,Longtime companions face an uncertain future when their living situation changes.
83,Batman Begins,A wealthy heir travels abroad to train and returns to start an unusual civic project.
84,2001: A Space Odyssey,A crew embarks on a mission with an onboard system that becomes difficult to work with.
85,Reservoir Dogs,Strangers assembled for a job turn on each other when things go wrong.
86,The Apartment,"An office worker lends his place to executives, complicating his own romantic life."
87,Singin' in the Rain,Entertainers navigate a major industry transition that threatens some careers more than others.
88,Indiana Jones and the Last Crusade,"A professor's work trip becomes a search for his father, and they bond over shared pursuits."
89,Eternal Sunshine of the Spotless Mind,A couple explores an unconventional method for moving on from each other.
90,12th Fail,A determined young man overcomes repeated setbacks to pass a competitive examination.
91,The Hunt,A man's life unravels after a misunderstanding spreads through his small community.
92,Ikiru,A longtime bureaucrat receives difficult news and searches for meaning through one final project.
93,Lawrence of Arabia,A foreign liaison finds unexpected purpose coordinating efforts in a distant region.
94,To Kill a Mockingbird,A professional takes an unpopular assignment while his children learn hard lessons about their community.
95,Spider-Man: Across the Spider-Verse,A teenager struggles with family expectations and meets others who share his unusual circumstances.
96,M,Criminals organize their own search for someone the authorities have failed to catch.
97,Vertigo,A man with a phobia takes on a private assignment that becomes an unhealthy fixation.
98,A Clockwork Orange,A young man with violent tendencies undergoes an experimental correction program.
99,Oppenheimer,A scientist leads an ambitious government project and later faces scrutiny over his associations.
100,Double Indemnity,A salesman helps a client with a scheme involving her husband's policy.
